FID_wwf_bi,BIOME,biome2,name,area,FID_www_in,FID_WWW_ed,OBJECTID,NAME_1,at_risk,Map_number,COUNTRY,TYPE,Region,FID_contin,FID_1,CONTINENT,sq_km
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,44,44,58,Andes-Choco,,,Colombia,WCS areas of work,AAO,5,6,South America,23214
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,45,45,59,Andean-Amazon piedmont of Putumayo,,,Colombia,WCS areas of work,AAO,5,6,South America,21515
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,46,46,61,Lower R├¡o Negro,,,Brazil,WCS areas of work,AAO,5,6,South America,75354
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,47,47,62,Gabon,,,Gabon,Policy,Central Africa,0,1,Africa,211231
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,53,53,68,Maya Forest,,,"Guatemala, Mexico, Belize",WCS areas of work,Mesoamerica,3,4,North America,39853
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,54,54,73,,,,Nicaragua,WCS areas of work,Mesoamerica,3,4,North America,28380
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,56,56,80,Meso Reef,,,Belize,WCS areas of work,Mesoamerica,3,4,North America,18
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,57,57,81,,,,"Cost Rica, Panama",Partners work here,Mesoamerica,3,4,North America,36526
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,58,58,82,,,,"Panama, Colombia",Partners work here,Mesoamerica,3,4,North America,23126
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,59,58,82,,,,"Panama, Colombia",Partners work here,Mesoamerica,5,6,South America,5626
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,62,61,88,,,,Madagascar,,East Africa and West Indian Ocean,0,1,Africa,12141
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,69,68,99,Western Ghats,,,India,,South Asia,1,2,Asia,66503
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,70,69,100,Bismarck Forest Corridor,,,Papua New Guinea,WCS areas of work,Melanesia,1,2,Asia,8307
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,71,70,101,Manus Great Central Forest,,,Papua New Guinea,WCS areas of work,Melanesia,4,5,Oceania,1562
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,72,71,102,New Ireland Seascape,,,Papua New Guinea,WCS areas of work,Melanesia,4,5,Oceania,2615
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,73,72,103,West-Central Solomons Land-Seascape,,,Solomon Islands,WCS areas of work,Melanesia,4,5,Oceania,4135
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,74,73,105,Vatu-i-Ra Seascape,,,Fiji,WCS areas of work,Melanesia,4,5,Oceania,5509
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,78,77,109,,,,Cambodia,,Greater Mekong,1,2,Asia,645
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,79,78,110,,,,Laos,,Greater Mekong,1,2,Asia,6199
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,80,79,111,,,,Laos,,Greater Mekong,1,2,Asia,11141
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,81,80,112,,,,Myanmar,,Greater Mekong,1,2,Asia,4481
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,82,81,116,,,,Myanmar,,Greater Mekong,1,2,Asia,5183
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,83,82,117,,,,Myanmar,,Greater Mekong,1,2,Asia,24341
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,84,83,118,,,,Myanmar,,Greater Mekong,1,2,Asia,2309
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,85,84,119,,,,Myanmar,,Greater Mekong,1,2,Asia,680
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,86,85,122,,,,Thailand,,Greater Mekong,1,2,Asia,7516
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,87,86,123,,,,Thailand,,Greater Mekong,1,2,Asia,3434
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,99,98,138,,,,Indonesia,,,1,2,Asia,1928
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,100,99,139,,,,Indonesia,,,1,2,Asia,24453
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,101,100,140,,,,Malaysia,,,1,2,Asia,7221
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,102,101,143,,,,Malaysia,,,1,2,Asia,4316
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,103,102,144,,,,Indonesia,,,1,2,Asia,41625
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,104,103,145,,,,Philippines,,,1,2,Asia,86756
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,105,104,146,,,,Indonesia,,,1,2,Asia,13137
