FID_wwf_re,REALM,sq_km,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name,Region,WCS_SH,Reason,sq_km
8,PA,52849857,44,68,,Asia,"Russia, China",F,0,,Northeast Asia Tiger Stronghold,Temperate Asia,1,,839822
8,PA,52849857,45,70,,,"Kazakhstan, Russian, China y Mongolia",C,0,,Altai Mountains,Temperate Asia,0,Financial,433700
8,PA,52849857,46,75,,,"Russia, China, Mongolia",G,0,,Daurian Steppe-Eastern Gobi,Temperate Asia,1,,1198566
8,PA,52849857,47,77,,,Kazakhstan,K,0,,Altyn Dala,Temperate Asia,0,"Political, Financial",389495
8,PA,52849857,52,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,258383
8,PA,52849857,103,0,,,Russian,,0,,,Arctic Beringia,0,,109806
8,PA,52849857,107,0,,,Iran,,0,,,,0,,664142
3,AT,21657240,3,4,West Central Africa Rainforest,Africa,Congo,Terrestrial,6,Y,Conkouati,Central Africa,1,,5152
3,AT,21657240,9,10,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,Y,Atlantic Coast,Central Africa,1,,5152
3,AT,21657240,6,7,Greater Chinko/Garamba/Southern,Africa,DRC,Terrestrial,4,N,Bili-Uere,Central Africa,0,,148168
3,AT,21657240,28,42,Greater Chinko/Garamba/Southern,,Congo y Central African Republic,,0,,Bili-Uere - Zemongo,Sudano-Sahel,0,,148168
3,AT,21657240,6,7,Greater Chinko/Garamba/Southern,Africa,DRC,Terrestrial,4,N,Bili-Uere,Central Africa,0,,0
3,AT,21657240,29,43,Greater Chinko/Garamba/Southern,,South Sudan y Congo,,0,,Southern-Lantoto - Garamba,Sudano-Sahel,0,,0
3,AT,21657240,8,9,Greater Chinko/Garamba/Southern,Africa,DRC,Terrestrial,8,Y,Garamba,Central Africa,0,,14904
3,AT,21657240,29,43,Greater Chinko/Garamba/Southern,,South Sudan y Congo,,0,,Southern-Lantoto - Garamba,Sudano-Sahel,0,,14904
3,AT,21657240,9,10,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,Y,Atlantic Coast,Central Africa,1,,9
3,AT,21657240,12,13,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,y,Guineo-Congolian inland forests,Central Africa,1,,9
3,AT,21657240,28,42,Greater Chinko/Garamba/Southern,,Congo y Central African Republic,,0,,Bili-Uere - Zemongo,Sudano-Sahel,0,,0
3,AT,21657240,29,43,Greater Chinko/Garamba/Southern,,South Sudan y Congo,,0,,Southern-Lantoto - Garamba,Sudano-Sahel,0,,0
4,IM,8499096,52,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,116
4,IM,8499096,57,96,,,Myanmar,,0,,,Greater Mekong,1,,116
4,IM,8499096,84,0,,,Malaysia,,0,,,,0,,29171
4,IM,8499096,98,0,,,Malaysia,,0,,,,0,,29171
