FID_WDPA_O,WDPAID,WDPA_PID,NAME,ORIG_NAME,DESIG_ENG,DESIG_TYPE,IUCN,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,SCAPENAME,PROGRAM,COUNTRY,Region,sq_km
56969,301543,301543,Nyonga,Nyonga,Forest Reserve,National,Not Reported,Not Applicable,Designated,1954,Federal or national ministry or agency,Not Reported,Tanzania Forest Services (TFS) Agency,Not Reported,State Verified,1747,TZ-20,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,0
63408,313401,313401,Conkouati-Douli,Conkouati-Douli,National Park,National,II,Not Applicable,Designated,1999,Federal or national ministry or agency,State,ACFAP,In Development,State Verified,1958,CG-5,COG,COG,Not Applicable,Not Applicable,West Central Africa Rainforest,Africa,Congo,Central Africa,0
63408,313401,313401,Conkouati-Douli,Conkouati-Douli,National Park,National,II,Not Applicable,Designated,1999,Federal or national ministry or agency,State,ACFAP,In Development,State Verified,1958,CG-5,COG,COG,Not Applicable,Not Applicable,West Central Africa Rainforest,Africa,Multiple,Central Africa,0
64912,317056,317056,Tayna,Tayna,Nature reserve,National,Not Reported,Not Applicable,Designated,2006,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Oku-Kahuzi-Kabobo,Africa,DRC,Central Africa,0
80521,350001,350001,Kisimba Ikobo,Kisimba Ikobo,Primate Nature Reserve,National,Not Reported,Not Applicable,Designated,0,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Oku-Kahuzi-Kabobo,Africa,DRC,Central Africa,0
436,666,666,Wonga-Wongu├®,Wonga-Wongu├®,Presidential Reserve,National,Not Reported,Not Applicable,Designated,1976,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1959,GA-8,GAB,GAB,Not Applicable,Not Applicable,West Central Africa Rainforest,Africa,Multiple,Central Africa,0
13705,67931,67931,Wongha-Wongh├®,Wongha-Wongh├®,"Ramsar Site, Wetland of International Importance",International,Not Reported,(ii)(iii)(iv),Designated,1986,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,GA-8,GAB,GAB,Not Applicable,Not Applicable,West Central Africa Rainforest,Africa,Multiple,Central Africa,0
18898,109034,109034,Bas Ogooue,Bas Ogooue,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(viii),Designated,2009,Not Reported,Not Reported,Not Reported,Management plan is not implemented and not available,State Verified,1856,GA-3,GAB,GAB,Not Applicable,Not Applicable,West Central Africa Rainforest,Africa,Multiple,Central Africa,0
634,921,921,Katavi National Park,Katavi National Park,National Park,National,II,Not Applicable,Designated,1974,Federal or national ministry or agency,Not Reported,Tanzania National Parks (TANAPA),Not Reported,State Verified,1744,TZ-20,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,0
9557,32788,32788,Mlele GCA,Mlele GCA,Game controlled area,National,VI,Not Applicable,Designated,1974,Federal or national ministry or agency,Not Reported,Tanzania Wildlife Authority (TAWA),Not Reported,State Verified,1744,Not Reported,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,0
56977,301551,301551,Mulele Hills,Mulele Hills,Forest Reserve,National,Not Reported,Not Applicable,Designated,0,Federal or national ministry or agency,Not Reported,Tanzania Forest Services (TFS) Agency,Not Reported,State Verified,1747,TZ-20,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,0
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
920,1443,1443,Kigezi,Kigezi,Wildlife Reserve,National,III,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-412,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
923,1446,1446,Kyambura,Kyambura,Wildlife Reserve,National,III,Not Applicable,Designated,1965,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1123,2017,2017,Virunga National Park,Parc national des Virunga,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(x),Inscribed,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1123,2017,2017,Virunga National Park,Parc national des Virunga,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(x),Inscribed,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
40135,166889,166889,Virunga,Virunga,National Park,National,II,Not Applicable,Designated,1925,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,12
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,12
2940,7934,7934,Kazinga,Kazinga,Wildlife Sanctuary,National,VI,Not Applicable,Designated,1959,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,1442,UG-406,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,12
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
11016,40002,40002,Kibale,Kibale,National Park,National,II,Not Applicable,Designated,0,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-413,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,2
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,2
11036,40027,40027,Kalinzu,Kalinzu,Forest Reserve,National,Not Reported,Not Applicable,Designated,1932,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1708,Not Reported,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,2
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,403
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,403
13995,68242,68242,Lake George,Lake George,"Ramsar Site, Wetland of International Importance",International,Not Reported,Not Reported,Designated,1988,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,UG-406,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,403
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,10
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,10
40135,166889,166889,Virunga,Virunga,National Park,National,II,Not Applicable,Designated,1925,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,10
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,286
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,286
64766,315408,315408,North Maramagambo,North Maramagambo,Forest Reserve,National,Not Reported,Not Applicable,Designated,1932,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1708,Not Reported,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,286
657,957,957,Queen Elizabeth,Queen Elizabeth,National Park,National,II,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
11016,40002,40002,Kibale,Kibale,National Park,National,II,Not Applicable,Designated,0,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-413,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
13995,68242,68242,Lake George,Lake George,"Ramsar Site, Wetland of International Importance",International,Not Reported,Not Reported,Designated,1988,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,UG-406,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
807,1240,1240,Dja,Dja,Wildlife Reserve,National,IV,Not Applicable,Designated,2007,Federal or national ministry or agency,State,State/ECOFAC,Yes,State Verified,1957,CM-ES;CM-SU,CMR,CMR,Not Applicable,Not Applicable,West Central Africa Rainforest,Africa,Multiple,Central Africa,5188
1467,3012,3012,Dja,Dja,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1981,Not Reported,Not Reported,State/ECOFAC,Available 2007,State Verified,1957,CM-ES,CMR,CMR,Not Applicable,Not Applicable,West Central Africa Rainforest,Africa,Multiple,Central Africa,5188
5814,17758,17758,Dja Faunal Reserve,R├®serve de faune du Dja,World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),Inscribed,1987,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,946,CM-ES,CMR,CMR,Not Applicable,Not Applicable,West Central Africa Rainforest,Africa,Multiple,Central Africa,5188
891,1401,1401,Ugalla G.R. (N),Ugalla G.R. (N),Game Reserve,National,IV,Not Applicable,Designated,1965,Federal or national ministry or agency,Not Reported,Tanzania National Parks (TANAPA),Not Reported,State Verified,1744,TZ-20,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,1001
56471,220068,220068,Malagarasi-Muyovozi Wetlands,Malagarasi-Muyovozi Wetlands,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vi)(vii)(viii),Designated,2000,Not Reported,Not Reported,Not Reported,Management plan is not implented but is available,State Verified,1856,Not Reported,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,1001
56942,301496,301496,Mpanda Line,Mpanda Line,Forest Reserve,National,Not Reported,Not Applicable,Designated,1955,Federal or national ministry or agency,Not Reported,Tanzania Forest Services (TFS) Agency,Not Reported,State Verified,1747,Not Reported,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,1001
891,1401,1401,Ugalla G.R. (N),Ugalla G.R. (N),Game Reserve,National,IV,Not Applicable,Designated,1965,Federal or national ministry or agency,Not Reported,Tanzania National Parks (TANAPA),Not Reported,State Verified,1744,TZ-20,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,863
56471,220068,220068,Malagarasi-Muyovozi Wetlands,Malagarasi-Muyovozi Wetlands,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vi)(vii)(viii),Designated,2000,Not Reported,Not Reported,Not Reported,Management plan is not implented but is available,State Verified,1856,Not Reported,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,863
56948,301506,301506,Wala River,Wala River,Forest Reserve,National,Not Reported,Not Applicable,Designated,1956,Federal or national ministry or agency,Not Reported,Tanzania Forest Services (TFS) Agency,Not Reported,State Verified,1747,Not Reported,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,863
891,1401,1401,Ugalla G.R. (N),Ugalla G.R. (N),Game Reserve,National,IV,Not Applicable,Designated,1965,Federal or national ministry or agency,Not Reported,Tanzania National Parks (TANAPA),Not Reported,State Verified,1744,TZ-20,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,5
56471,220068,220068,Malagarasi-Muyovozi Wetlands,Malagarasi-Muyovozi Wetlands,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vi)(vii)(viii),Designated,2000,Not Reported,Not Reported,Not Reported,Management plan is not implented but is available,State Verified,1856,Not Reported,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,5
56953,301516,301516,Ugunda,Ugunda,Forest Reserve,National,Not Reported,Not Applicable,Designated,1957,Federal or national ministry or agency,Not Reported,Local Authority (LAFR),Not Reported,State Verified,1747,Not Reported,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,5
891,1401,1401,Ugalla G.R. (N),Ugalla G.R. (N),Game Reserve,National,IV,Not Applicable,Designated,1965,Federal or national ministry or agency,Not Reported,Tanzania National Parks (TANAPA),Not Reported,State Verified,1744,TZ-20,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,1698
56471,220068,220068,Malagarasi-Muyovozi Wetlands,Malagarasi-Muyovozi Wetlands,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vi)(vii)(viii),Designated,2000,Not Reported,Not Reported,Not Reported,Management plan is not implented but is available,State Verified,1856,Not Reported,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,1698
56955,301519,301519,Ugalla River,Ugalla River,Forest Reserve,National,Not Reported,Not Applicable,Designated,1958,Federal or national ministry or agency,Not Reported,Tanzania Forest Services (TFS) Agency,Not Reported,State Verified,1747,TZ-20,TZA,TZA,Not Applicable,Not Applicable,Greater Ruaha Katavi,,Tanzania,East Africa West Indian Ocean,1698
920,1443,1443,Kigezi,Kigezi,Wildlife Reserve,National,III,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-412,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,2
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,2
64766,315408,315408,North Maramagambo,North Maramagambo,Forest Reserve,National,Not Reported,Not Applicable,Designated,1932,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1708,Not Reported,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,2
920,1443,1443,Kigezi,Kigezi,Wildlife Reserve,National,III,Not Applicable,Designated,1952,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-412,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,134
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,134
65005,317282,317282,South Maramagambo,South Maramagambo,Forest Reserve,National,Not Reported,Not Applicable,Designated,1932,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1708,Not Reported,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,134
1123,2017,2017,Virunga National Park,Parc national des Virunga,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(x),Inscribed,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
40135,166889,166889,Virunga,Virunga,National Park,National,II,Not Applicable,Designated,1925,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1123,2017,2017,Virunga National Park,Parc national des Virunga,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(x),Inscribed,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,8
2195,5190,5190,Parc national des Volcans,Parc national des Volcans,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1983,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1963,Not Reported,RWA,RWA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,8
40135,166889,166889,Virunga,Virunga,National Park,National,II,Not Applicable,Designated,1925,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,8
1123,2017,2017,Virunga National Park,Parc national des Virunga,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(x),Inscribed,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,1
6096,18438,18438,Rwenzori Mountains,Rwenzori Mountains,National Park,National,II,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-406,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,1
11833,61608,61608,Rwenzori Mountains National Park,Monts Rwenzori,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(x),Inscribed,1994,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,UG-406,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,1
1123,2017,2017,Virunga National Park,Parc national des Virunga,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(x),Inscribed,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
6820,20331,20331,Rutshuru,Rutshuru,Hunting Area,National,VI,Not Applicable,Designated,1946,Not Reported,State,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
40135,166889,166889,Virunga,Virunga,National Park,National,II,Not Applicable,Designated,1925,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1123,2017,2017,Virunga National Park,Parc national des Virunga,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(x),Inscribed,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,1
11046,40042,40042,Semuliki,Semuliki,National Park,National,II,Not Applicable,Designated,1993,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-401,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,1
40135,166889,166889,Virunga,Virunga,National Park,National,II,Not Applicable,Designated,1925,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,1
1123,2017,2017,Virunga National Park,Parc national des Virunga,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(x),Inscribed,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
11833,61608,61608,Rwenzori Mountains National Park,Monts Rwenzori,World Heritage Site (natural or mixed),International,Not Applicable,(vii)(x),Inscribed,1994,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,UG-406,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
40135,166889,166889,Virunga,Virunga,National Park,National,II,Not Applicable,Designated,1925,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1962,Not Reported,COD,COD,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
1483,3051,3051,Queen Elizabeth National Park,Queen Elizabeth National Park,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,UG-402,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
11016,40002,40002,Kibale,Kibale,National Park,National,II,Not Applicable,Designated,0,Federal or national ministry or agency,State,Uganda Wildlife Authority,Not Reported,State Verified,1442,UG-413,UGA,UGA,Not Applicable,Not Applicable,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Central Africa,0
