FID_WDPA_O,WDPAID,WDPA_PID,NAME,ORIG_NAME,DESIG_ENG,DESIG_TYPE,IUCN,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,SCAPENAME,PROGRAM,COUNTRY,Region,sq_km
5634,16806,16806,Hornopir├®n,Hornopir├®n,National Park,National,II,Not Applicable,Designated,1988,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PN%20Hornopiren.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,,,,,661
5642,16855,16855,La Humada,La Humada,Nature Reserve,National,VI,Not Applicable,Designated,1974,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-L,ARG,ARG,Not Applicable,Not Applicable,,,,,61
5643,16858,16858,Pichi Mahuida,Pichi Mahuida,Nature Reserve,National,VI,Not Applicable,Designated,1974,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-L,ARG,ARG,Not Applicable,Not Applicable,,,,,79
5644,16861,16861,La Payunia,La Payunia,Total Reserve,National,Ia,Not Applicable,Designated,1982,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-M,ARG,ARG,Not Applicable,Not Applicable,,,,,6829
5647,16873,16873,Copahue Caviahue,Copahue Caviahue,Provincial Park,National,II,Not Applicable,Designated,1962,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Q,ARG,ARG,Not Applicable,Not Applicable,,,,,288
5648,16874,16874,Batea Mahuida,Batea Mahuida,Forest Reserve,National,VI,Not Applicable,Designated,1968,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Q,ARG,ARG,Not Applicable,Not Applicable,,,,,20
5649,16875,16875,Cha├▒y,Cha├▒y,Forest Reserve,National,Not Reported,Not Applicable,Designated,1986,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Q,ARG,ARG,Not Applicable,Not Applicable,,,,,50
5650,16876,16876,El Tromen,El Tromen,Provincial Park,National,II,Not Applicable,Designated,1971,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Q,ARG,ARG,Not Applicable,Not Applicable,,,,,300
5652,16882,16882,Caleta de los Loros,Caleta de los Loros,Multiple Use Reserve,National,VI,Not Applicable,Designated,1984,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-R,ARG,ARG,Not Applicable,Not Applicable,,,,,24
5653,16883,16883,Meseta de Somuncur├í,Meseta de Somuncur├í,Protected Nature Area,National,VI,Not Applicable,Designated,1986,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-R,ARG,ARG,Not Applicable,Not Applicable,,,,,16158
5657,16888,16888,Punta Loma,Punta Loma,Tourist Nature Reserve,National,IV,Not Applicable,Designated,1967,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,,,,,17
5658,16889,16889,Pen├¡nsula de Vald├®s,Pen├¡nsula de Vald├®s,Tourist Nature Reserve,National,VI,Not Applicable,Designated,1983,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,,,,,114
5665,16899,16899,Bah├¡a Laura,Bah├¡a Laura,Intangible Nature Reserve,National,IV,Not Applicable,Designated,1977,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Z,ARG,ARG,Not Applicable,Not Applicable,,,,,18
5666,16900,16900,R├¡a de Puerto Deseado,R├¡a de Puerto Deseado,Intangible Nature Reserve,National,VI,Not Applicable,Designated,1977,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Z,ARG,ARG,Not Applicable,Not Applicable,,,,,76
5667,16901,16901,Cabo Blanco,Cabo Blanco,Intangible Nature Reserve,National,IV,Not Applicable,Designated,1977,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Z,ARG,ARG,Not Applicable,Not Applicable,,,,,15
6545,19603,19603,Cabo dos Bah├¡as,Cabo dos Bah├¡as,Tourist Nature Reserve,National,IV,Not Applicable,Designated,1973,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,,,,,2
6550,19612,19612,Punta Tombo,Punta Tombo,Tourist Nature Reserve,National,IV,Not Applicable,Designated,1972,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,,,,,2
6553,19621,19621,Volc├ín Tupungato,Volc├ín Tupungato,Provincial Park,National,II,Not Applicable,Designated,1985,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-M,ARG,ARG,Not Applicable,Not Applicable,,,,,1288
6795,20190,20190,Punta Le├│n,Punta Le├│n,Tourist Nature Reserve,National,Not Reported,Not Applicable,Designated,1985,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,,,,,1
6797,20198,20198,Laguna Aleusco,Laguna Aleusco,Tourist Nature Reserve,National,VI,Not Applicable,Designated,1983,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,,,,,10
7131,21216,21216,Cerro Aconcagua,Cerro Aconcagua,Provincial Park,National,II,Not Applicable,Designated,1983,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-M,ARG,ARG,Not Applicable,Not Applicable,,,,,248
7134,21223,21223,Epulauquen,Epulauquen,Tourist and Forest Provincial Reserve,National,VI,Not Applicable,Designated,1973,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Q,ARG,ARG,Not Applicable,Not Applicable,,,,,309
