FID_WDPA_O,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,FID_strong,FID_stro_1,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,WCS_SH,Reason,CONTINENT,sq_km
3264,9423,9423,1,Ralco,Ralco,Reserva Nacional,National Reserve,National,IV,Not Applicable,Designated,1988,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20Ralco%201996.pdf,State Verified,1808,CL-BI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,129
3265,9424,9424,1,Queulat,Queulat,Parque Nacional,National Park,National,II,Not Applicable,Designated,1983,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PN%20Queulat.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,1586
3269,9428,9428,1,Dos Lagunas,Dos Lagunas,Monumento Natural,Natural Monument,National,III,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_MN_Dos_Lagunas.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,2
3271,9430,9430,1,Laguna de Los Cisnes,Laguna de Los Cisnes,Monumento Natural,Natural Monument,National,III,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_MN_Laguna_de_los_Cisnes.pdf,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,17
3273,9432,9432,1,R├¡o Clarillo,R├¡o Clarillo,Reserva Nacional,National Reserve,National,IV,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20R%C3%ADo%20Clarillo%201996.PDF,State Verified,1808,CL-RM,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,131
3274,9433,9433,1,Malleco,Malleco,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1907,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Malleco.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,0
3278,9439,9439,1,Llanquihue,Llanquihue,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1912,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Lago_Llanquihue.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,282
3279,9440,9440,1,Lago Carlota,Lago Carlota,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1965,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/plan%20de%20manejo%20Lago%20Carlota.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,270
3280,9441,9441,1,Lago Palena,Lago Palena,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1965,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Lago_Palena.pdf,State Verified,1808,"CL-LL, CL-AI",CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,467
3281,9442,9442,1,Lago Rosselot,Lago Rosselot,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1983,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,125
3282,9443,9443,1,Lago Las Torres,Lago Las Torres,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RF%20Lago%20Las%20Torres%201989.PDF,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,163
3283,9444,9444,1,R├¡o Simpsom,R├¡o Simpsom,Reserva Nacional,National Reserve,National,IV,Not Applicable,Designated,2000,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20R%C3%ADo%20Simpson.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,407
3284,9445,9445,1,Las Guaitecas,Las Guaitecas,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1938,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,4141
3285,9447,9447,1,R├¡o Blanco,R├¡o Blanco,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1932,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-VS,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,52
3286,9448,9448,1,R├¡o Los Cipreses,R├¡o Los Cipreses,Reserva Nacional,National Reserve,National,IV,Not Applicable,Designated,1986,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20R%C3%ADo%20de%20los%20Cipreses%202000.pdf,State Verified,1808,CL-LI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,387
3289,9452,9452,1,Katalalixar,Katalalixar,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1984,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,3086
3730,10700,10700,1,Alberto D'Agostini,Alberto D'Agostini,Parque Nacional,National Park,National,II,Not Applicable,Designated,1965,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,10366
3731,10706,10706,1,Villarrica,Villarrica,Reserva Forestal,Forest Reserve,National,IV,Not Applicable,Designated,1912,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20Villarrica%202013.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,0
3800,10877,10877,1,Isla de los Estados y Archipi├®lago de A├▒o Nuevo,Isla de los Estados y Archipi├®lago de A├▒o Nuevo,Reserva Natural Silvestre,Wilderness Nature Reserve,National,Ib,Not Applicable,Designated,2016,Federal or national ministry or agency,Not Reported,"Ministerio de Defensa, Administraci├│n de Parques Nacionales y Pcia. de Tierra del Fuego",Not Reported,State Verified,1935,AR-V,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,396
5634,16806,16806,1,Hornopir├®n,Hornopir├®n,Parque Nacional,National Park,National,II,Not Applicable,Designated,1988,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PN%20Hornopiren.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,661
